title,price,taste,brand,description,spirit_style,state
Aberlour 18 Yr,97.99,None,Aberlour," Speyside, Scotland- Aged in bourbon and sherry casks. Dried apricot, fresh oranges, and light smoke aromas. The mouth leads with a touch of sweetness and soft vanilla and honey notes. Long and balanced finish. CHAIRMAN'S TROPHY FINALIST 97pts. - 2016 ULTIMATE SPIRITS CHALLENGE. ",Single Malt,
Aberlour A'bunadh,69.99, Intense . Spice . Sherry . Long ,Aberlour," Speyside, Scotland- Cask Strength and aged exclusively in Oloroso Sherry casks. Deep and concentrated aromas of nuts and raisins. The mouth begins spicy, turning to sweet dried fig and candied nuts. Long, spicy finish. CHAIRMAN'S TROPHY 98pts - 2016 ULTIMATE SPIRITS CHALLENGE. ",Single Malt,
Adelphi Clynelish 17 Yr 1996,209.99,None,Adelphi," Highlands, Scotland - This whisky is drawn from a rare Spanish oak, ex-sherry hogshead. To the nose, a light prickle with dried fruits and spice. A rich, oily mouth feel; sweet and spicy taste and a thread of scented smoke in the long finish. ",Single Malt,Highland
Adelphi Longmorn 28 Yr 1985,329.99,None,Adelphi," Speyside, Scotland - Rich, oily and mouth-drying after a sweet start, at full strength with fruits of the forest, even slightly tropical. It can be enjoyable either neat, with ice, water, or even a mixer. ",Single Malt,
After Dark Premium Grain Whisky,14.99,None,After Dark, India- One-hundred percent grain based spirit produced in India. On the nose it is clean with medium to spicy chili notes accented by honey and ripe stonefruit. Palate features fully intense flavors balanced with the aromas and a musky backdrop. Enjoy straight at room temperature. ,Single Malt,
Ainsley Brae Burgundy Cask Finish,23.99, Medium . Cedar . Cherry . Complex ,Ainsley Brae," Highlands, Scotland - A great highland expression aged in ex bourbon barrels then finsihed in burgundy casks for 6-8 months giving this whisky a rich body with berry and wood notes. ",Single Malt,Highland
Ainsley Brae Glendullan 12 Yr,57.99, Rich . Spice . Clove . Creamy . Complex ,Ainsley Brae," Speyside, Scotland - Built in 1897 the Glendullen distillery was one of the original seven stills of Dufftown. The offering has a rich complex profile that scotch lovers are bound to cherish. Gold Medal SF Spirits Competition ",Single Malt,Speyside
Ainsley Brae Highland Malt 1964,442.99, Intense . Spice . Cedar . Vanilla . Complex ,Ainsley Brae," Scotland, Highlands - A classic highland malt distilled in1964 and bottled in 2013. This 49-year-old whisky is a cap stone to any collection. The Intense cedar and spice notes yeild to sweeter vanilla notes and the finish lingers in a way the only a whisky of this age can. ",Single Malt,Highland
Ainsley Brae Royal Brackla 12 Yr,57.99, Rich . Caramel . Spice . Complex ,Ainsley Brae," Highlands, Scotland - Built in 1812, the Brackla Whisky was selected by King William IV of the United Kingdom to be his whisky for the Royal Court, ever since this whiskey was used as a benchmark for quality. Drink with a splash of water. Silver Medal SF Spirits Competition ",Single Malt,Highland
Ainsley Brae Sauternes Cask Finish,22.99, Medium . Spice . Cherry . Vanilla . Balanced ,Ainsley Brae," Highlands, Scotland - A great Highland expression aged in ex-bourbon barrels then finsihed in Sauternes casks for 6-8 months, giving this Whisky a rich body with spice and cherry notes. Gold Medal SF Spirits Competition ",Single Malt,Highland
Ainsley Brae Sherry Cask Finish,23.99, Rich . Sherry . Spice . Complex ,Ainsley Brae," Highlands, Scotland - A great highland expression aged in ex bourbon barrels then finsihed in sherry casks for 6-8 months giving this whisky a rich body with spice and vanilla notes that give way to fruit and wood notes at the back. Silver Medal SF Spirits Competition ",Single Malt,Highland
Ainsley Brae Single Malt Oak Cask,21.99, Medium . Spice . Vanilla . Mild ,Ainsley Brae," Highlands, Scotland - An exemplary Highland expression aged in ex-bourbon barrels for a rich profile with notes of spice, oak and vanilla. This straightforward Single Malt is great neat or with a splash of water. Silver Medal SF Spirits Competition ",Single Malt,Highland
Akashi Single Malt Japanese Whisky,99.99,None,Akashi," Japan - Located in the town of Akashi, near the farmed city of Kobe in Japan, White Oak distillery has been in operation since 1919. The single malt whisky has no age statement, but has plenty of rich malty flavor and a supple fruited character that should please fans of the genre. ",Single Malt,
Akashi White Oak Whisky,35.99,None,Akashi," Japan - The aroma is delicate with notes of marshmallow, barrel spices, raw corn, and vanilla. As you taste, the same notes are found and the whisky is soft and full on your palate. Enjoy! ",Single Malt,
Alexander Murray 1962 Highland,1199.99, Delicate . Honey . Spice . Sherry . Complex ,Alexander Murray," Highland, Scotland- This exquisite expression was aged for 52 years in an oak cask, then was finish for 12 months in an ex-sherry cask. The length of aging and finishing created an elegant and complex whisky with rich spice and honey. ",Single Malt,Highland
Alexander Murray 1972 Speyside,799.99, Intense . Smoke . Floral . Balanced ,Alexander Murray," Speyside, Scotland - Dark amber in color with aromas of dried fruits, a subtle smokiness and complex palate, with a dry and slightly floral finish. It can be enjoyed neat, with water, ice or a mixer. ",Single Malt,Speyside
Alexander Murray 1991 Glen Garioch,129.99,None,Alexander Murray," Highlands, Scotland - Scotland's most easterly distillery and is one of Scotland's oldest. This rare bottling from 1991 has an array of sweet vanilla flavors, butterscotch and honeycomb. Orange peel blends with mocha and oak spice, finishing with a warming heathery smokiness. ",Single Malt,Highland
Alexander Murray 1992 Bruichladdich,159.99,None,Alexander Murray," Islay, Scotland - This fine Alexander Murray bottling of Bruichladdich 21 year old single malt is very special. The nose is full bodied with an initial oily, sweet nose. To taste, sweet Scottish tablet and hints of nuts leading to a gripping complex but smooth finish. Enjoy neat. ",Single Malt,
Alexander Murray 1996 Glentauchers,104.99,None,Alexander Murray," Speyside, Scotland - This rare bottling of 17 year old Glentauchers has been matured in ex-bourbon casks. This whisky has a rich golden color, with hints of orchard fruits on the nose. On the palate you will find notes of sweet caramel and ripe grapes. The finish is long and smooth. ",Single Malt,
Alexander Murray 1997 Dailuaine,99.99,None,Alexander Murray," Speyside, Scotland - Alexander Murray brings you this rare bottling of Dailuaine single malt distilled in 1997. It has been matured in oak casks for 16 years. A sweet vanilla nose, followed by a sweet, creamy butterscotch taste and a long soft-spiced fruit finish. Sip neat. ",Single Malt,
Alexander Murray 1997 Macallan,499.99, Rich . Dried Fruit . Spice . Balanced ,Alexander Murray," Highlands, Scotland- Very rare 20 Year Old Macallan. Satisfyingly complex, characterized by its rich color, aroma and flavor, and with hints of dried fruits, light smoke, and chocolate orange. ",Single Malt,Highland
Alexander Murray 2000 Highland Park,139.99,None,Alexander Murray," Scotland - This rare bottling of cask strength has been matured in ex-bourbon casks. A glowing amber color with a sweet peaty aroma on the nose. To taste, it is bursting with spicy fruits and has a long peaty finish. Add a drop or two of water and sip neat. ",Single Malt,
Alexander Murray 2005 Laphroaig,129.99, Intense . Smoke . Peat . Long ,Alexander Murray," Islay, Scotland- This offering has intense smoke on the nose with a balanced sweetness on the palate followed by strong peat notes and an extremely long finish. Best enjoyed neat. ",Single Malt,Islay & Islands
Alexander Murray Allt-a-Bhainne 23 Yr,149.99, Rich . Sweet . Spice . Toffee . Complex ,Alexander Murray," Speyside, Scotland - From a small distillery that sits on the northern slopes of the mountain of Ben Rinnes. Sweet and spicy with hints of toffee, cinnamon, pepper, and fudge. Pronounced ""Alta-vanya"" ",Single Malt,Speyside
Alexander Murray Ardmore 13 Yr,109.99,None,Alexander Murray," Speyside, Scotland - Golden hues. To the nose, faint peat and marzipan. on the palate, creamy vanilla, buttered biscuits. Long finish with vanilla, oak and faint smoke. It can be enjoyed neat, with water, on the rocks, or in a mixed drink. ",Single Malt,Highland
Alexander Murray Ardmore Single Malt Aged 9 Years,45.99,None,Alexander Murray," Speyside, Scotland- Aromas of a smoky malt: dry, smoky campfire explodes on the palate; yet through maturation it has developed fine depth of character, subtle vanilla bean arrives with a peasant and coating texture. ",Single Malt,Speyside
Alexander Murray Auchentoshan 15 Yr,78.99,None,Alexander Murray," Lowlands, Scotland - Triple Distilled and unpeated malt gives the Whisky a more delicate and sweet flavor than most Scotch Whiskies. The ex-bourbon allows for gorgeous sweet vanilla notes on the nose and on the palate it will initially be woody, followed by creamy vanilla. ",Single Malt,Lowland
Alexander Murray Ben Nevis 17 Yr,119.99,None,Alexander Murray," Highland, Scotland- Aroma highlights hints of nuts and oranges. Toffee with a peat burst at the end on the palate. Sublime, oily, oak notes on the finish unique to this family of single malts. Matured in ex-bourbon casks at the base of Scotland's highest mountain. ",Single Malt,Highland
Alexander Murray Benrinnes 19 Yr,159.99,None,Alexander Murray," Speyside, Scotland- Benrinnes has a particularly full-bodied and perfumed character that contributes bags of flavor to blends. As a stand alone single malt Benrinnes is the most interesting idiosyncratic of whiskies- full of flavor with a luscious body. Finish is of stewed fruits. ",Single Malt,Speyside
Alexander Murray Bladnoch 25 Yr,179.99,None,Alexander Murray," Scotland- Light in color. Here you will find a sweet, floral nose with hints of malted barley. On the palate it is smooth and sweet with hints of citrus fruits and bananas. The finish is long and just keeps on going. ",Single Malt,
Alexander Murray Bon Accord,29.99, Medium . Sweet . Smoke . Long ,Alexander Murray," Scotland - This entry level single malt is a marriage of aged casks from one distillery, brought together to create an elegant and complex single malt. Golden in color, with a medium sweet body, gently smokey, with a strong finish. ",Single Malt,
Alexander Murray Braes of Glenlivet 21 Yr,139.99, Medium . Sweet . Fruit . Oak . Mild ,Alexander Murray," Speyside, Scotland - Truly a rare find for any Speyside fan, this is a medium-bodied whisky from the sister distillery of The Glenlivet. Sweet and fruity, with custard, toffee, and oak notes. ",Single Malt,Speyside
Alexander Murray Bruichladdich Aged 12 Years Cask Strength,119.99,None,Alexander Murray," Islay & Islands, Scotland- Carries a delicate, unpeated, malty, fruity dram. Sweet, creamy oatmeal leads the charge with fruit preserve quick to follow. Candied fruits linger, leading to delicate, drying oak. ",Single Malt,Islay & Islands
Alexander Murray Bunnahabhain 26Yr,239.99, Medium . Oak . Fruit . Complex ,Alexander Murray," Islay, Scotland - This will not be quite as smoky or salty as whiskies from neighboring distilleries. Dry and fruity the flavor sometimes resembles that of an oaked chardonnay. ",Single Malt,Islay & Islands
Alexander Murray Bunnahabhain 28Yr,299.99, Rich . Spice . Smoke . Fruit . Complex ,Alexander Murray," Islay, Scotland - Rich, spicy, but not too smoky. Malty and nutty, you will get a taste of fruit cake, but also some fruitiness with citrus peel and peach. Enjoy neat or with a few drops of water. ",Single Malt,Islay & Islands
Alexander Murray Caol Ila 8 Yr,74.99,None,Alexander Murray," Islay, Scotland - Golden in color. To the nose, smoky with a sea tide. on the palate, a real salty breeze taste. It finishes with a hint of smoke. It is perfect on the rocks by the fire. ",Single Malt,Islay & Islands
Alexander Murray Dalmore 15 Yr,129.99,None,Alexander Murray," Highland, Scotland- Dalmore 15 Year is dark in color with dried fruit on the nose. On the palate it has classic christmas cake notes of sherry, raisins, cherries and cinnamon. The finish is sweet fruit and nutmeg. ",Single Malt,Highland
Alexander Murray Glen Garioch 20Yr,129.99,None,Alexander Murray," Highland, Scotland- This 1994 expression showcases rich aromas of malt, smoked apricot, and salt. The medium-bodied palate begins sweet then becomes drying and complex. Finishes dry and intense. ",Single Malt,Highland
Alexander Murray Glen Grant 22 Year Barrel Select,109.99, Intense . Cereal Grain . Nut . Toffee . Balanced ,Alexander Murray," Speyside, Scotland- This un-chill filtered exclusive barrel select expression is bottled at cask strength. The intense nutty and cereal character of Glen Grant softened from development in the cask, allowing rounded, bourbon-like characteristics to shine through. Malty, toffee notes. ",Single Malt,Speyside
Alexander Murray Glen Moray 12 Yr,74.99,None,Alexander Murray," Speyside, Scotland- Glen Moray is known for its delicate spirit, and this expression is specially selected for its spicy character. Bottled at cask strength the aromas of coconut, vanilla, and spice are abundant. Light bodied with apple crumber and almond. Vanilla and spice finish. ",Single Malt,Speyside
Alexander Murray Glenkeith,149.99,None,Alexander Murray," Highland, Scotland- This 1995 vintage has a delicate and complex character- slightly oily, with a pleasant grain character. Nose of vanilla and rich fruit. Palate has subtle oak with a wisp of smoke. Finish is mild. ",Single Malt,Highland
Alexander Murray Glenlivet 45 Yr,899.99, Rich . Sweet . Creamy . Complex ,Alexander Murray," Scotland- The interplay between flavors in this Alexander Murray bottling of Glenlivet is wonderfully intriguing and will delight the most discerning of palates. The whisky is approachable and delicate, sweet and savory are delivered in a rich and creamy body. ",Single Malt,Speyside
Alexander Murray Glenlossie 19 Yr,119.99, Light . Floral . Pear . Honey . Mild ,Alexander Murray," Speyside, Scotland - This is remarkably fresh for an aged whisky, with a healthy dose of floral notes. Flavors of red apple, pear, and honeycomb. Light-bodied with a long, smooth finish. ",Single Malt,Speyside
Alexander Murray Glenrothes 22 Yr,159.99,None,Alexander Murray," Speyside, Scotland- This expression is a very bold whisky: luscious, sweet, fruity, and spicy. Aromas of honey, melon, and rich toffee are followed by a medium-bodied palate with notes of honey, palm sugar, and spice. The finish showcases licorice, intense spice, and faint smoke. ",Single Malt,Speyside
Alexander Murray Glentauchers 20 Yr,99.99, Rich . Smoke . Oak . Malt . Complex ,Alexander Murray," Speyside, Scotland- This whisky has a soft yet rich character. Sweet malt and gooseberry notes combine fantastically with rich oak flavors. A very faint hint of smoke adds complexity. ",Single Malt,Speyside
Alexander Murray Glenturret 30 Yr,229.99,None,Alexander Murray," Highland, Scotland- This 1986 vintage is beautifully aged for rich and fruity accents throughout the palate. Notes of sweet malt and orchard fruit lead to a dry, spicy, and lingering finish. ",Single Malt,Highland
Alexander Murray Glenturret 34 Yr,259.99, Rich . Toffee . Malt . Long ,Alexander Murray," Highland, Scotland- This 1982 vintage is beautifully aged with rich and spicy accents throughout the palate. Sweet malt, biscuit, and toffee notes lead to a dry and lingering finish. All together rich and well-rounded. ",Single Malt,Highland
Alexander Murray Highland 12Yr,49.99,None,Alexander Murray," Scotland- 2004 vintage, this scotch is beautifully light-bodied with great character. It tastes of sweet biscuit, toffee and honey with an oaky, vanilla finish. Enjoy on its own or in your favorite drink. ",Single Malt,Highland
Alexander Murray Highland 49 Yr,1399.99, Rich . Sherry . Malt . Balanced ,Alexander Murray," Highlands, Scotland - Alexander Murray brings you this extremely rare bottling , of Highland 49 year old Single Malt Scotch. Distilled in 1964 & matured in oak casks. Deep aromas of sherry. Smooth and balanced on the palate. Hints of malted barley on the finish. ",Single Malt,Highland
Alexander Murray Highland Sherry Finish,86.99,None,Alexander Murray," Scotland - Whiskies from the Highland region can be described as elegant and complex. With its sherry cask finish; the result is a Scotch that has deep aromas of sherry, is smooth and balanced on the palate, with hints of malted barley on the finish. Sip neat. ",Single Malt,Highland
Alexander Murray Ledaig Single Malt 20 Years Cask Strength,199.99,None,Alexander Murray," Islay & Islands- Ledaig is the lesser-known, peated variant produced only a small fraction of the year. This 1997 vintage has a lovely display of balance: crisp, citrus, dry and earthy peat, and sweet, textured barley sugar come together to please the palate. ",Single Malt,Islay & Islands
Alexander Murray Linkwood 19 Yr,119.99, Medium . Fruit . Smoke . Nut . Long ,Alexander Murray," Speyside, Scotland - Fruity and creamy taste with a delicat hint of smoke and malt. A dry nuttiness and luscious vanilla flavor permeate the palate which gives way to a long and smooth finish. ",Single Malt,Speyside
Alexander Murray MacDuff 15 Yr,85.99, Medium . Herbal . Fruit . Complex ,Alexander Murray," Highland, Scotland- This expression highlights toffee and cereal grain on the nose. The palate finds ample orange and ginger notes, followed by a long finish with more ginger. ",Single Malt,Highland
Alexander Murray Monumental 18 Yr,59.99,None,Alexander Murray," Scotland- Select Malt and Grain Whiskies have been blended to create a robust blend with rich, balanced flavors and luscious, creamy texture. Monumental blend was created to celebrate the original spirit and vision of the early distillers. ",Blended Scotch,
Alexander Murray Monumental Blend 30 Yr,189.99,None,Alexander Murray," Highlands, Scotland - A recapture of the original spirit and vision of the early distillers, this exceptional blend featuring 75% single malt was finished in sherry casks for 8 months. This monumental scotch has notes of butterscotch, leather, spices with hints of cinnamon and apple. ",,
Alexander Murray Mortlach 19 Yr,169.99,None,Alexander Murray," Speyside, Scotland- All the flavors you love of Mortlach, but with a little less bite. Hefty aromas filled with hints of peat, smooth caramel, and a bit of woody and fruit. The palate is light with similar tones as the aromas coming through on the palate. A great and easy sipper. ",Single Malt,Speyside
Alexander Murray Polly's Cask,99.99, Rich . Creamy . Cereal Grain . Apricot . Complex ,Alexander Murray," Highland, Scotland- What if fine single malt Scotch whisky was finished in the same bourbon barrels used to age Californian barley wines, stouts & special Imperial bitters? An exceptional single malt: a double-barrelled celebration, a whisky that quite literally has no peers. ",Single Malt,Highland
Alexander Murray Strathmill 24 Yr,189.99, Delicate . Oily . Smoke . Fruit . Balanced ,Alexander Murray," Speyside, Scotland - Delicate, oily, and surprisingly smoky for a Speyside singe malt. You'll also pick up on fruity notes that include dried apricot, sweet apple, and tangerine. ",Single Malt,Speyside
Alexander Murray Tobermory 19 Yr,119.99,None,Alexander Murray," Islay, Scotland - Alexander Murray brings you this rare bottling of Tobermory that has a rich island character. To the nose, malt, seaweed and polished oak. On the palate, hints of spiced gingerbread and smoke. It finishes of with an elegant taste of sweetness and a hint of sea salt. ",Single Malt,Islay & Islands
Alexander Murray Tobermory 22 Yr,119.99, Rich . Pepper . Fruit . Long ,Alexander Murray," Island, Scotland- Golden in color with white pepper and fruit on the nose. The palate has layers of sweetness and fruit. Balanced between sweet and tart notes. Long, dry finish. ",Single Malt,Islay & Islands
Amrut Cask Strength,67.99, Intense . Oak . Citrus . Long ,Amrut," India- Classic house style with bourbon notes fused with rich barley; caramel and coffee undertones throughout. Oak and barley flavors are followed by soft oils and a sharp jolt of blood orange citrus, softened on the finish. ",Single Malt,
Amrut Double Cask,199.99,None,Amrut, India- Amrut Double Cask is a unique blend from an ex-bourbon cask and a Pedro Jimenez port cask. Each of those barrels transfered to the whisky its organoleptic qualities. The bourbon casks' sweetness and generosity are gently entwined to the Pedro Jimenez casks' intensity. ,Single Malt,
Amrut Fusion,59.99, Rich . Fruit . Long ,Amrut," India- Rich, barley and fruit nose with citrus, spices, a creamy sweetness and a hint of peat. Palate is oaky, rich, with gentle peat, coffee and dark chocolate notes. Long, spicy sweet finish with a touch of citrus. ",Single Malt,
Amrut Kadhambam,139.99,None,Amrut," India- This Amrut was matured in three casks. The casks used are Bangalore Blue Brandy, Rum, and Sherry Casks. It is rich in flavor with notes of oak and of sherry. A treasure to enjoy. ",Single Malt,
Amrut Peated Cask Strength,79.99,None,Amrut," India- Golden yellow in color; smoky, spicy, with peat influences throughout. Nose is smoky, buttery with a hint of sweetness. Strong cinnamon flavor is accompanied with honey and smoke creating a warming sensation. Completed with a dry, smoky ending. ",Single Malt,
Amrut Peated Single Malt,59.99, Peat . Fruit . Balanced ,Amrut," India- Aromas of sweet cured bacon, smoke, malt and sweet peat with a touch of caramel. Palate is loaded with fruit, malt and tart. Finishes medium, with peat emerging at the end. ",Single Malt,
Amrut Portonova,129.99,None,Amrut," India- This Amrut was taken to Portugal, placed into Port Barrels, and then brought back to India to age. It is rich in flavor with oak and notes imparted from the port flavors. ",Single Malt,
Amrut Rye Single Malt,199.99,None,Amrut," India- Amrut Rye Single Malt is the first Indian whisky to be elaborated exclusively with European rye. With this unique whisky, Amrut distillery becomes one of the few distilleries to be producing with rye. Aged for 5 years in American oak casks, this is a fruity and delicate dram. ",Single Malt,
Amrut Sherry Cask,59.99,None,Amrut," India - There we go with that unique bitter-sweet overture where the oaks and barley appear joined at the hip; lovely soft oils and then a sharp jolt of blood orange citrus, which is removed by something more buttery and delicate. ",Single Malt,
Amrut Spectrum Single Malt,189.99,None,Amrut," India- A first in the world whisky, aged initially for 3 years in bourbon barrels then finished for 3 and a half years in a unique cask made from a combination of 5 different types of wood. American, French and Spanish new oak, and ex-Oloroso and ex-PX sherry casks. Big and bold. ",Single Malt,
Amrut Traditional,47.99, Rich . Oak . Cereal Grain . Balanced ,Amrut," India- The nose is very powerful with oak, milk chocolate, almonds, apricots and spices. It's light and fruity on the palate, with barley and coconut flavors throughout. The finish is medium long with peppers and again the taste of the oak lingers. ",Single Malt,
Amrut Two Continent,109.99,None,,,Single Malt,
AnCnoc 12 Yr,36.99, Rich . Honey . Fruit . Long ,AnCnoc," Highlands, Scotland- Soft and very aromatic nose with a hint of honey and lemon in the foreground. Sweet taste to start with an appetising fruitiness and a long, smooth finish. ",Single Malt,Highland
AnCnoc 18 Yr,109.99,None,AnCnoc," Highland, Scotland- Traditionally distilled spirit with a modern twist. Bold, full-bodied, and aromatic with a hint of citrus. Gentle spice, sweet dried fruit, and silk chocolate aromas. Candied lemon followed by a surge of vanilla custard and runny caramel on the palate. Long finish. ",Single Malt,Highland
AnCnoc 22 Yr,159.99,None,AnCnoc," Scotland- Sweet biscuity aromas with hints of manuka honey and toffee apples. Full flavor with notes of Corinth raisins and citrus with hints of spice, custard and leather. Finishes long with honey and allspice. Enjoy neat. ",Single Malt,Highland
