,title,price,avg_rating,taste,score,brand,description,spirit_style,state,taste_list
453,Compass Box Great King Street Glasgow Barrel Select,54.99,-1.0, Intense . Peat . Dried Fruit . Long ,-1,Compass Box," Scotland- Big whisky nose with malty-sweet aromas and peaty smoke. On the palate, mossy dry oak mix with sweet autumn fruits and nuts. This hand-selected expression is extra aged in a sherry butt, which creates a complex balance between peat and sherry notes. ",Blended Scotch,,"[' intense', 'peat', 'dried fruit', 'long ']"
454,Compass Box Hedonism,119.99,5.0, Delicate . Tropical . Creamy . Balanced ,-1,Compass Box," Whisky Advocate-Lowlands, Scotland- ""Gold color. Delicate aromas of tropical fruits (coconut, pineapple, mango), marshmallow and vanilla. Light in body, with delicate exotic flavors that deliver what the aroma promises. Soft, gentle, delicately creamy finish."" Blended Grain Scotch whisky. ",,,"[' delicate', 'tropical', 'creamy', 'balanced ']"
455,Compass Box Hedonism The Muse,279.99,-1.0,None,-1,Compass Box," Lowlands, Scotland- Hedonism, The Muse combines this single cask with other rare and remarkable grain whiskies of varying ages to create a whisky that has all the flavour hallmarks of the classic Hedonism, with even greater depth and intensity. ",Blended Scotch,,['none']
456,Compass Box No Name,149.99,5.0,None,-1,Compass Box," Islay, Scotland- Even peatier than the ""Peat Monster""tempered with hints of fruit. A bonfire like smokiness on the nose with a peatiness that is by turns tarry and medicinal with hints of autumn leaves. A powerful smokiness and peatiness accented by hints of cherries, plums and spice. ",Blended Scotch,Islay & Islands,['none']
457,Compass Box Oak Cross,65.99,5.0, Rich . Malt . Vanilla . Mellow . Balanced ,93,Compass Box," Speyside, Scotland- A secondary maturation in casks that have French oak heads (spice and dried fruit) and American oak bodies(lighter malt characters). The result is malty with subtle fruit, sweet vanilla and spice. Blended malt from 3 Higland single malts. ",,,"[' rich', 'malt', 'vanilla', 'mellow', 'balanced ']"
458,Compass Box Orangerie,43.99,5.0,None,-1,Compass Box," Highlands, Scotland- Made from a smooth blend of Highland single malt and single grain whisky from Fife. The blend is then infused with the hand-zested peel of oranges and subtle accents of Indonesia cassia bark and Sri Lankan cloves fo create the lively, vibrant flavors of Orangerie. ",,,['none']
459,Compass Box Phenomenology,189.99,-1.0,None,-1,Compass Box," Scotland- We'd long been working on a blend of single malts that combines seemingly dissonant flavour profiles, but together creates something compelling. We landed on a recipe that elicited a surprising range of reactions and descriptions, each person taking away something different. ",Blended Scotch,,['none']
460,Compass Box Spice Tree,59.99,5.0, Rich . Spice . Sweet . Balanced ,-1,Compass Box," Speyside, Scotland- A blend of single malts from different distilleries. A natural, deep, gold-brown colour and a rich nose with spices such as clove and nutmeg, and sweet stewed fruits. Palate is soft, sweet, deep and rich with a malt whisky fruitiness embellished with rich spice. ",,,"[' rich', 'spice', 'sweet', 'balanced ']"
461,Compass Box Spice Tree Extravaganza,139.99,-1.0,None,-1,Compass Box," Scotland- This limited edition bottle is a blended whisky and uses toasted french oak barrel heads. Malty and light with aspects of spice and sherry. Full bodied with a hint of clove, cinnamon and nutmeg.The finish is of medium length, nutty and fades quickly leaving singed cloves. ",Blended Scotch,,['none']
462,Compass Box The Peat Monster,49.99,3.8, Intense . Peat . Smoke . Honey . Balanced ,94,Compass Box," Wine Enthusiast -Islay, Scotland- ""An intensely smoky initial bouquet which then becomes creamy, concentrated, mash-like, and very malty...the taste profile turns sweet, bonfire-like, and strikingly like smoky green tea and honey...An elegant malt despite its moniker."" ",,,"[' intense', 'peat', 'smoke', 'honey', 'balanced ']"
463,Compass Box The Spaniard,58.99,-1.0,None,-1,Compass Box," Scotland- A malt whisky blend with a portion of core whiskies aged in Spanish Sherry wine casks. Full, soft and sumptuous on the palate with flavors of citrus peel and pears poached in red wine and spices. Long finish, with hints of rich vanilla panna cotta, ripe berries and cherries. ",Single Malt,Highland,['none']
464,Convalmore 36 Yr,899.99,-1.0, Intense . Honey . Wood . Spice . Long ,-1,Convalmore," Speyside, Scotland- Opens up into a honeyed with mead and dried herbs and develops into an elegant spicy wood with red apple and dark spices on the palate. Finishes with a touch of smoke. Enjoy on the rocks. ",Single Malt,,"[' intense', 'honey', 'wood', 'spice', 'long ']"
465,Convalmore Single Malt Scotch 1984,1499.99,-1.0, Intense . Herbal . Oak . Orange . Complex ,-1,Convalmore," Scotland- Soft oak on the palate, with orange and tomato flavors. Adding just a little water transforms the texture of this malt, however, as well as releasing more intense herbal notes. Gentle oak on the finish. ",Single Malt,Speyside,"[' intense', 'herbal', 'oak', 'orange', 'complex ']"
466,Copper Dog Blended Malt Scotch,29.99,2.0,None,-1,Copper Dog," Speyside, Scotland- This superb whisky combines eight single malts aged in a mixture of ex-American and European oak caks and first fill Bourbon casks. Blended by master blender Stuart Morrison and married in hogshead, it perfectly highlights the character and experience of Speyside. ",Blended Scotch,Speyside,['none']
467,Cragganmore 12 Yr,58.99,3.5, Delicate . Tropical Fruit . Peat . Balanced ,-1,Cragganmore," Wine Enthusiast -Speyside, Scotland- ""Succulent aroma develops with aeration in the sweet forms of barley, cream, light caramel, and tropical fruit. Palate entry is round, borderline plump, breakfast-cereal sweet, and honeyed; midpalate, a slightly oily peat smoke. Sweetly concludes with focus on malt."" ",Single Malt,,"[' delicate', 'tropical fruit', 'peat', 'balanced ']"
468,Cragganmore 25 Yr,549.99,-1.0, Rich . Vanilla . Wood . Balanced ,-1,Cragganmore," Speyside, Scotland- To the nose, it has green wood, apple stalks, juicy melon, crushed nuts, and dark caramel. On the palate, vanilla and younger green wood notes mix with dried mango. The finish is more of the green wood that is joined by some spicier oak and dark caramel. ",Single Malt,,"[' rich', 'vanilla', 'wood', 'balanced ']"
469,Cragganmore Distillers Edition,84.99,-1.0,None,-1,Cragganmore," Speyside, Scotland- To the nose, it is sweet and malty with a hint of smoke. On the palate, it is firm, sweet, with smoky undertones and fruitiness. The finish is a medium to long with fine, oaky expressions. ",Single Malt,,['none']
470,Cragganmore FL,899.99,-1.0, Light . Oak . Malt . Mild ,-1,Cragganmore," Speyside, Scotland- Matured in three cask types chosen for flavor alone. Fifteenth of a limited series of annual releases that are very rare. Soft sweet nose that shows of the distillery's character. Compelling, intense palate gradually dries with balance of oak and malt. Warm finish. ",Single Malt,Speyside,"[' light', 'oak', 'malt', 'mild ']"
471,Craigellachie 13 Yr,43.99,5.0, Rich . Smoke . Apple . Complex ,-1,Craigellachie," Speyside, Scotland - Not for the faint hearted, this is a single malt for those who can handle big flavor. If you've cracked Peaty malts, now it's time for Craigellachie! Sip neat and enjoy! ",Single Malt,,"[' rich', 'smoke', 'apple', 'complex ']"
