,title,price,avg_rating,taste,score,brand,description,spirit_style,state,taste_list
700,Glen Moray Chardonnay Cask,26.49,-1.0,None,-1,Glen Moray," Speyside, Scotland- Fresh clean nose with hints of apple, pear drops, key lime pie and bubblegum fading to a cinnamon sugar aroma. Caramelized fruit and butterscotch notes. An elegant whisky with soft mouthfeel and taste befitting this meeting of Speyside and Burgundy. Nutty finish. ",Single Malt,Speyside,['none']
701,Glen Moray Classic Sherry Cask Finish,24.99,-1.0,None,-1,Glen Moray, Scotland- 6-7 years in ex-Bourbon barrels with 12-month finish in an Oloroso Sherry Hogsheads. Intense Oloroso sherry flavors marry with sweet vanilla oak to produce a whisky which has a wonderful depth of character. ,Single Malt,,['none']
702,Glen Moray Classic Single Malt Scotch,19.99,3.8,None,-1,Glen Moray," Speyside, Scotland - At full strength, the aroma is fragrant and lightly drying with warming malty notes. on the palate malty toffee sweetness is present throughout with blackcurrants and a fragrant citrus lemongrass tang. 91pts ""Top 100 spirits"" from Wine Enthusiast ",Single Malt,Speyside,['none']
703,Glen Moray Classic w 2 Glasses,19.99,-1.0,None,-1,Glen Moray,,Single Malt,,['none']
704,Glen Moray Mastery,859.99,-1.0,None,-1,Glen Moray," Speyside, Scotland- Bourbon cask matured Glen Moray from the 1970's adds complexity and vintage oak character, with port finished whisky from the 1980's bringing a sweeter character and spice. ",Single Malt,Speyside,['none']
705,Glen Moray Port Cask,24.99,3.0,None,-1,Glen Moray," Speyside, Scotland- Toasted vanilla and subtle hints of oak. Aromas of rich dried fruits and leather follow, laced with dark chocolate and blackberries. Spice hits the tongue combined with a refreshing lemon-citrus tang. Develops a rich caramel sweetness with traces of cinnamon. ",Single Malt,Speyside,['none']
706,Glen Ness 12 Yr Single Malt Scotch Whisky,27.99,2.9, Delicate . Spice . Oak . Balanced ,-1,Glen Ness," Highland, Scotland- Clean and creamy with a bit of sweetness balanced with oaky spice and light peat. Matured for 12 years giving a round, elegant palate and a very smooth finish. Sip and enjoy! Silver Medal SF Spirits Competition 2015 ",Single Malt,Highland,"[' delicate', 'spice', 'oak', 'balanced ']"
707,Glen Ness 8 Yr Single Malt Scotch Whisky,19.99,3.7, Delicate . Barley . Peat . Balanced ,89,Glen Ness," Highlands, Scotland- Created by the age-old process of warming carefully selected malted barley over smoky peat fire and the addition of the purest Highland Spring water. Matured for 8 yrs for a round palate with hints of peat and smooth finish. Silver Medal SF Spirits Competition 2015 ",Single Malt,Highland,"[' delicate', 'barley', 'peat', 'balanced ']"
708,Glen Ness Single Malt Scotch Whisky,18.99,3.4, Rich . Oak . Nut . Long ,90,Glen Ness," Highlands, Scotland- From the premier region of Scotland for the production of the finest Single Malts with the most complex flavors and excellence of quality. Matured in selected oak casks to enhance flavor, giving a smooth finish. Silver Medal SF Spirits Competition 2015 ",Single Malt,Highland,"[' rich', 'oak', 'nut', 'long ']"
709,Glen Salen Pre Malt,19.99,-1.0,None,-1,Glen Salen," Scotland- Comprised of carefully selected single malts from over 35 different distilleries, sure to please both types of Scotch enthusiasts- blended and single malt with its fine maturity. ",Single Malt,,['none']
710,Glen Scotia 15 Yr Old,74.99,-1.0,None,-1,Glen Scotia," Lowlands, Scotland- Gently matured in fine American oak barrels, the 15 year has rich colors, broad and medium-weight with citrus peels, and ginger snap biscuits. A complicated palate where the initial nose would lead you to expect plump fruits yet producing surprisingly dry element. ",Single Malt,Campbeltown,['none']
711,Glen Scotia Double Cask,46.99,-1.0,None,-1,Glen Scotia, Scotland- Vibrant fruit aromas of peach and green apples followed by chewy vanilla fudge notes with a hint of salinity and oaky spices. The palate opens with more fudge and a dusting of powdered sugar. Powerful and oily with a touch of brandy character. Sherried notes on the finish. ,Single Malt,Campbeltown,['none']
712,Glen Scotia Victoriana,99.99,5.0,None,-1,Glen Scotia," Lowlands, Scotland- Chosen for its rare character, each cask is finished in deep charred oak producing an exceptionally smooth single malt whisky. Bottled in traditional fashion straight from the cask and without filtration. ",Single Malt,Campbeltown,['none']
713,GlenAllachie 13 Yr,69.99,-1.0, Intense . Caramel . Apple . Vanilla . Long ,-1,GlenAllachie," Speyside, Scotland- GlenAllachie uses water from a spring 3000 feet up Ben Rinnes north-east face. This single cask offers caramel-dipped apple and pear notes with hints of brown sugar on the nose. Intense vanilla and zesty citrus on the palate are followed by a very long finish. ",Single Malt,Speyside,"[' intense', 'caramel', 'apple', 'vanilla', 'long ']"
714,Glenbuck Scotch,12.99,-1.0,None,-1,Sazerac,,Blended Scotch,,['none']
715,Glencadam 10 Yr,57.99,-1.0,None,-1,Glencadam," Highlands, Scotland - To the nose, aromatic and fresh. Hay, fruit, gentle wood influence with light vanilla and spice. On the palate, beautifully balanced with tart fruits, freshly cut hay and vanilla sweetness. Long and gentle finish as it fades out on barley malt and fruit. ",Single Malt,Highland,['none']
716,Glencadam 15 Yr,94.99,-1.0, Rich . Honey . Smoke . Balanced ,-1,Glencadam," Highlands, Scotland- Malt and citrus fruits on a slight medicinal background, mingled with floral hints and a touch of smoke. Complex with honey hints and acid touches, liquorice hints. ",Single Malt,Highland,"[' rich', 'honey', 'smoke', 'balanced ']"
717,Glencadam 21 Yr,199.99,-1.0, Rich . Citrus . Tropical Fruit . Spice . Long ,-1,Glencadam," Highlands, Scotland - On the nose, buttery and sweet with notes of tropical fruits, citrus, toast, and custard. on the palate, spicy and tingling on the tongue with oak-led spices, vanilla, cinnamon and allspice. Good length finish with some oaky dryness and tropical fruit. ",Single Malt,Highland,"[' rich', 'citrus', 'tropical fruit', 'spice', 'long ']"
718,Glendronach 12Yr,48.99,3.9, Delicate . Vanilla . Sherry . Balanced ,94,Glendronach," Highlands, Scotland- Matured in sherry casks for 12 years then finished in American oak. This has the effect of marrying the sherry notes with the creamy vanilla tones that American oak offers. It is a beautifully smooth whisky. 90 PTS. - BEVERAGE TASTING INSTITUTE ",Single Malt,Highland,"[' delicate', 'vanilla', 'sherry', 'balanced ']"
719,Glendronach 18 Yr,159.99,4.0,None,87,Glendronach," Scotland- The nose is clean w/ sherry and a mix of classic notes. The taste is bold with notes of dry walnuts, roasted coffee beans, and treacle backed by dark chocolate & orange rind aromas from the nose. Long finish. 1st place at Int. Whiskey Comp. in best 18 yr sing. mlt. category ",Single Malt,Highland,['none']
720,Glendronach 21 Yr Parliament,229.99,-1.0, Rich . Sherry . Chocolate . Spice . Long ,92,Glendronach," Scotland- Resolute flavors of fine Oloroso sherry, bitter chocolate sauce, and plum pudding. This is all infused with fabulous spicy notes - cinnamon, allspice and nutmeg. Full bodied with smooth tannins. Long and lingering finish. 2nd place at Int. Whiskey Comp. in 19-24 yr. category. ",Single Malt,,"[' rich', 'sherry', 'chocolate', 'spice', 'long ']"
721,Glendronach Grandeur 24Yr,659.99,-1.0,None,-1,Glendronach," Highland, Scotland- The most recent expression of Grandeur, Batch 7, was bottled at twenty five years old. It is a classical representation of the smooth, complex and full bodied style that GlenDronach is famous for. Individually numbered by hand, each bottle is unique. ",Single Malt,Highland,['none']
722,Glendronach Kingsman Edition 1991 Vintage,1049.99,-1.0, Intense . Sherry . Malt . Long ,-1,Glendronach," Highlands, Scotland- An exclusive, ultra-premium bottling of The GlenDronach Single Malt Scotch Whisky, fully matured in sherry casks for over 25 years and bottled to celebrate the film, Kingsman: The Golden Circle. Whisky maker, Rachel Barrie, blended together the finest 1991 casks. ",Single Malt,Highland,"[' intense', 'sherry', 'malt', 'long ']"
723,Glendronach Revival 15 Yr,79.99,-1.0,None,-1,Glendronach,,Single Malt,,['none']
724,Glendronach Single Cask Sherry 24Yr,599.99,-1.0,None,-1,Glendronach," Highland, Scotland- Two batches of Single Casks are released for genex per year, starting with Batch 1 in 2009. The latest, Batch 14, was released in November 2016. This selection is 24 years old. ",Single Malt,Highland,['none']
725,Glendronach Single Cask Sherry 27yr,969.99,-1.0,None,-1,Glendronach," Highland, Scotland- Two batches of Single Casks are released for genex per year, starting with Batch 1 in 2009. The latest, Batch 14, was released in November 2016. This selection is 27 years old. ",Single Malt,Highland,['none']
726,Glenfarclas 10 Yr,46.99,5.0, Rich . Smoke . Peat . Spice . Long ,-1,Glenfarclas," Speyside, Scotland- Straw gold color. Sherry-sweet malty aromas combine with a light smokiness and subtle spice. Delicately light, sweet and malty, with hints of biscuits and cream and peaty notes. Leaves a long, slightly spicy finish with a lingering smokiness. ",Single Malt,Speyside,"[' rich', 'smoke', 'peat', 'spice', 'long ']"
727,Glenfarclas 105,92.99,-1.0,None,-1,Glenfarclas," Scotland - Dry and assertive, develops quickly to reveal a rich peppery smokiness, combined with a hint of oak and sherried fruit. The finish is amazingly smooth for the strength, wonderfully warming, with a lingering smokiness. Sip neat or on the rocks. Enjoy! ",Single Malt,,['none']
728,Glenfarclas 12 Yr,46.99,4.8, Rich . Oak . Malt . Smoke . Balanced ,-1,Glenfarclas," Speyside, Scotland- Light gold with a strong nose of sherry, smoke and fruit. Full, firm and a trace of oil on the palate with flavors of malt and some peat and smoke. Slighly dry. ",Single Malt,Speyside,"[' rich', 'oak', 'malt', 'smoke', 'balanced ']"
729,Glenfarclas 17 Yr,89.99,5.0,None,90,Glenfarclas," Speyside, Scotland- Complex nose, with distinctive butterscotch, sherried fruit and peat smoke aromas. Big and full-flavored with excellent balance. Develops slowly, full of sherry-sweet malty tones and a touch of peat smoke. Finishes long and smooth, with a hint of spice. ",Single Malt,Speyside,['none']
730,Glenfarclas 21 Yr,129.99,5.0,None,-1,Glenfarclas," Speyside, Scotland- Intense nose full of aromas of fruit, nutmeg and almonds with slight citrus notes at the end, all held together with a vanilla sweet smokiness. Full bodied rich and rounded develops slowly into fruity, smoky and spicy flavours. Long, smooth and smoky finish. ",Single Malt,Speyside,['none']
731,Glenfarclas 25 Yr,159.99,5.0,None,-1,Glenfarclas," Speyside, Scotland- Amber with dark gold highlights, full ripe and sweet, with finely peated with aromas of orange marmalade, honey, coffee, sherry and nuttiness. The finish is fresh with a long lasting smoky maltiness. ",Single Malt,Speyside,['none']
732,Glenfarclas 40 Yr,999.99,5.0, Rich . Orange . Chocolate . Balanced ,-1,Glenfarclas," Speyside, Scotland - The nose has antique leather, walnuts and chocolate covered raisins leading to a sweet initial taste of orange and chocolate then a lovely flavor of burnt brown sugar. The dry finish oozes big tannins and more rich dark cocoa. ",Single Malt,,"[' rich', 'orange', 'chocolate', 'balanced ']"
733,Glenfarclas Family Cask 1973,679.99,-1.0, Light . Leather . Sherry . Apple . Long ,-1,Glenfarclas," Speyside, Scotland- Lightly sweetened caramel, toffee apple aromas with fresh green apple underneath. Fresh, cotton candy flavor with notes of leather, sherry and berry cheesecake. Finishes long and slightly dry with lingering fruitiness. Try it neat. Enjoy! ",Single Malt,,"[' light', 'leather', 'sherry', 'apple', 'long ']"
734,Glenfarclas Family Cask 1983,449.99,-1.0, Rich . Oak . Apple . Balanced ,-1,Glenfarclas," Speyside, Scotland- A slightly musky aroma with a hint of cooking apples. Silky, slight oily texture with full flavor of oak and tannins. Finishes with a unique cola, bubble gum flavor. Try it on the rocks! ",Single Malt,,"[' rich', 'oak', 'apple', 'balanced ']"
735,Glenfiddich 12 Yr,26.99,3.8, Rich . Peat . Oak . Balanced ,89,Glenfiddich," Speyside, Scotland- The pioneer of the Single Malt Scotch category and one of the world's most popular. Distinctively fragrant, balancing the fruitiness of pear with the richness of subtle oak. Displaying complex, elegantly rounded flavors with a creamy, mellow finish. ",Single Malt,Speyside,"[' rich', 'peat', 'oak', 'balanced ']"
736,Glenfiddich 14 Yr Bourbon Barrel Reserve,43.99,4.4,None,90,Glenfiddich," Speyside, Scotland - Strong oak influence on the nose. Very fruity with nutmeg, cinnamon, fruits, dates. On the palate, bourbon sweetness, with strong fruitiness, sublimely smooth. Long nutty, toasty finish with hint of char. IWSC 'Gold Outstanding' Winner ",Single Malt,Speyside,['none']
737,Glenfiddich 15 Yr,52.99,4.1, Rich . Sherry . Spice . Long ,91,Glenfiddich," Speyside, Scotland-Richly layered whisky is matured in 3 types of oak cask: sherry, bourbon and new oak, before being married in a handcrafted Solera vat. Complex aroma with sweet honey and vanilla fudge combined with rich dark fruits. Smooth, with layers of sherry, cinnamon and ginger. ",Single Malt,Speyside,"[' rich', 'sherry', 'spice', 'long ']"
738,Glenfiddich 18 Yr,89.99,4.4, Intense . Apple . Smoke . Long ,90,Glenfiddich," Speyside, Scotland- An exceptionally smooth Single Malt Scotch combining a touch of sweetness from Spanish Sherry wood, with the oakiness drawn from traditional American casks. Remarkably rich aroma delivers luxurious apple and spice notes on the mellow, smoky palate. ",Single Malt,Speyside,"[' intense', 'apple', 'smoke', 'long ']"
739,Glenfiddich 1963 Replica Release,89.99,-1.0,None,-1,Glenfiddich," Speyside, Scotland - Glenfiddich's Malt Master, Brian Kinsman, has faithfully replicated a true taste of history. This exclusive whisky is light and fruity with hints of sherry spice from the European oak sherry butts that were predominantly used in the 1960s. Sip neat and enjoy! ",Single Malt,,['none']
740,Glenfiddich 1973 Reserve,5899.99,-1.0, Rich . Spice . Nut . Long ,-1,Glenfiddich," Speyside, Scotland- The first vintage reserve to have matured in Spanish sherry casks for 44 years. The nose has rich oak notes, a subtle nuttiness and sherried sweetness that leads to a stunning sweet and spicy sensation upon taste and a warm and lingering finish. ",Single Malt,Speyside,"[' rich', 'spice', 'nut', 'long ']"
741,Glenfiddich 1978 Vintage Cask,3999.99,-1.0, Rich . Fruit . Vanilla . Oak . Long ,-1,Glenfiddich," Speyside, Scotland - The nose is balanced with our hallmark pear and fruity notes. The taste is velvety smooth. Rich vanilla oak notes are punctuated by vibrant fruitiness. The finish is long and rich, our signature fruity character lingers on the palate. ",Single Malt,Speyside,"[' rich', 'fruit', 'vanilla', 'oak', 'long ']"
742,Glenfiddich 21 Yr,179.99,5.0, Intense . Toffee . Spice . Long ,93,Glenfiddich," Speyside, Scotland- Intense and sweet, floral hints of banana, figs and rich toffee. Complex, Initially soft, then brisk and vibrant, peppery, a touch of smoke, vanilla, ginger, lime, spices and new leather. Finish is very long, warming and spicy. ",Single Malt,Speyside,"[' intense', 'toffee', 'spice', 'long ']"
743,Glenfiddich 26 Yr,449.99,-1.0, Intense . Vanilla . Oak . Spice . Complex ,-1,Glenfiddich," Speyside, Scotland - A rare and aged single malt Scotch whisky that has spent 26 long years carefully maturing in American Oak ex-bourbon casks. This expression was created to honor Glenfiddich's line of continuous family ownership since William Grant founded our distillery in 1887. ",Single Malt,,"[' intense', 'vanilla', 'oak', 'spice', 'complex ']"
744,Glenfiddich 30 yr,749.99,5.0, Rich . Sherry . Honey . Long ,-1,Glenfiddich," Speyside,Scotland- Matured for over 30 years in the finest sherry and bourbon casks, this rare whisky reveals an complexity of fragrance and flavor. Subtle notes of sherry and fig are balanced by rich dark chocolate tones. Finish is exceedingly long, smooth, honeyed and warm. ",Single Malt,Speyside,"[' rich', 'sherry', 'honey', 'long ']"
745,Glenfiddich 40 Yr,3799.99,-1.0, Rich . Oak . Leather . Toffee . Complex ,-1,Glenfiddich," Speyside, Scotland - An exquisite single malt created from hand selected casks married with remnants of previous 40 year vattings. Mahogany in color with complex aromas of oak, leather, dried fruits, and toffee. Full bodied with notes of black cherry, nuts, tobacco, and mellow smoke. ",Single Malt,Speyside,"[' rich', 'oak', 'leather', 'toffee', 'complex ']"
746,Glenfiddich 50 Yr,38999.99,-1.0, Intense . Orange . Toffee . Oak . Long ,-1,Glenfiddich," Speyside, Scotland - To the nose, a beautifully harmonious with an uplifting, vibrant and complex aroma. On the palate, initially very sweet with a zesty orange marmalade and vanilla toffee. The finish is exceptionally long with a touch of dry oak and the merest trace of peat. ",Single Malt,,"[' intense', 'orange', 'toffee', 'oak', 'long ']"
747,Glenfiddich Age of Discovery19 Yr Bourbon Cask Reserve,179.99,-1.0,None,-1,Glenfiddich," Speyside, Scotland- The second release of the Age of Discovery collection inspired by the history of the Great American Rivers transporting fine oak casks filled with American bourbon. A Glenfiddich first resulting in a refined balance of spicy sweetness and dried fruit. ",Single Malt,,['none']
748,Glenfiddich Fire & Cane,48.99,4.5,None,-1,Glenfiddich, Scotland- Fire & Cane is a first of its kind and has never been done before in whiskey. Marriage of peated and non-peated whiskies that have been finished in Latin rum casks. Result is a beautiful balance of smoke and sweet that is seductively rich and easy to drink. ,Single Malt,Speyside,['none']
749,Glenfiddich IPA Cask,57.99,4.3,None,-1,Glenfiddich," Speyside, Scotland- The first single malt scotch whisky finished in IPA craft beer casks. A bold and zesty IPA beer imbues the rich oak casks with extra hoppy notes. Results in zesty citrus notes and the subtle tang of fresh hops complimented by carefully hand selected malt whisky. ",Single Malt,Speyside,['none']
750,Glenfiddich Project XX,79.99,3.7,None,-1,Glenfiddich," Speyside, Scotland- Non-Chill Filtered, Project XX is a product of 20 casks selected for their taste profile and rarity to create a whisky unrivaled in flavor depth and complexity. A refined and balanced flavor with candyfloss sweetness and a rich vanilla oakiness. ",Single Malt,Speyside,['none']
751,Glenfiddich Vintage 1973,6299.99,-1.0, Rich . Oak . Vanilla . Balanced ,-1,Glenfiddich," Speyside, Scotland- Cask No. 7585, a single barrel release selected from the finest stocks and exclusive to the United States market. This is a 44 year old American Oak Cask that was originally laid down in 1973 and bottled in June 2017. Bottled at cask strength. ",Single Malt,Speyside,"[' rich', 'oak', 'vanilla', 'balanced ']"
752,Glenfiddich Winter Storm,259.99,5.0, Rich . Fruit . Oak . Sweet . Balanced ,-1,Glenfiddich," Speyside, Scotland- Limited Edition- an experimental series - 21 years maturation in Canadian ice wine casks that creates a unique layer of sweetness and depth. The oak adds a fresh lychee flavor with signature notes of candied sweets and oak. ",Single Malt,Speyside,"[' rich', 'fruit', 'oak', 'sweet', 'balanced ']"
753,Glenglassaugh Revival,48.99,3.0,None,96,Glenglassaugh," Highland, Scotland- Revival is the first expression released from Glenglassaugh distillery for more than 20 years. Aged in a unique combination of ex-red wine, fresh bourbon, and rich sherry casks for sweet caramel, toffee, honey, and red berry notes with a soft spiced oak finish. ",Single Malt,Highland,['none']
754,Glenglassaugh Torfa,69.99,-1.0,None,92,Glenglassaugh," Scotland- Peaty nature with a unique expression, and is quite different to the usual style of Highland whisky. ""Torfa"" refers to the Old Norse word peat, has a brooding, smoky character. Natural color and bottled at 100 pf. 3rd place at Int. Spirits Comp. in Best Peated Whisky Category ",Single Malt,Highland,['none']
755,Glengoyne 10 Yr,49.99,5.0, Rich . Malt . Walnut . Balanced ,-1,Glengoyne," Highlands, Scotland- From a distillery located right on the Highlands and the Lowlands border, this 10 Yr is dominated by the malt. The nose is full, refined and elegant and the palate light and fruity. Has an interesting finish, marked by some malty notes, and hints of walnut. ",Single Malt,Highland,"[' rich', 'malt', 'walnut', 'balanced ']"
756,Glengoyne 12 Yr,44.99,4.0,None,-1,Glengoyne," Highlands, Scotland - To the nose, coconut oil, honey, lemon zest, and dried oak. On the palate, toffee apples, cinnamon spice, ginger, orange, and shortbread. The finish is a hint of sherry and soft oak. ",Single Malt,Highland,['none']
757,Glengoyne 15 Yr,69.99,5.0,None,-1,Glengoyne," Highlands, Scotland - To the nose, hints of candied lemon and a touch of butterscotch. On the palate, oily, rich palate entry with notes of toffee popcorn, salted butter and hints of ground walnuts. Oaky, malty finish. ",Single Malt,Highland,['none']
758,Glengoyne 18 Yr,139.99,5.0,None,-1,Glengoyne," Highlands, Scotland - To the nose, hints of soft spice and dried peels. A little apricot, honey and vanilla. on the palate, creamy custard and dried peels. Allspice, manuka honey and hints of butterscothch. The finish is creamy caramel and malt. ",Single Malt,Highland,['none']
759,Glengoyne 21 Yr,189.99,5.0,None,-1,Glengoyne," Highlands, Scotland - To the nose, oak, barley, and red fruits. On the palate, barley and oak, possibly erring on the side too much oak. Winter spice, and cider. The finish is oak and barley. ",Single Malt,Highland,['none']
760,Glengoyne 25 Year,649.99,-1.0, Intense . Spice . Toffee . Sherry . Complex ,-1,Glengoyne," Highland, Scotland- Elegant spice, treacle toffee, rich sherry oak - with an endlessly complex finish. Matured exclusively in hand-selected sherry casks for a character-building quarter century. ",Single Malt,Highland,"[' intense', 'spice', 'toffee', 'sherry', 'complex ']"
761,Glengoyne 35 Yr,3999.99,-1.0, Rich . Apple . Almond . Leather . Long ,-1,Glengoyne," Highlands, Scotland - The nose of apple pies, sponge cake, big wafts of caramel and chocolate. Spiced and crushed almonds. On the palate, cherry, honey and plenty of oak. Classic old leather notes and apple peels. The finish is brown sugar and rich oak - quite long. ",Single Malt,Highland,"[' rich', 'apple', 'almond', 'leather', 'long ']"
762,Glengoyne Cask Strength,85.99,5.0,None,-1,Glengoyne," Scotland- The taste of Scotland's slowest distillation, bottled as tradition insists: at cask strength and un-chillfiltered. Aromas of warm baked custard, peppered strawberries, and soft oak. Thick rosehip syrup on the palate develops into spicy, gooseberry dryness. Long finish. ",Single Malt,Highland,['none']
763,Glenkinchie 12 Yr,53.99,4.3, Light . Cinnamon . Spice . Mild ,-1,Glenkinchie," Lowlands, Scotland- Delicate and balanced with a large amount of sweetness. Scents and flavors of citrus zest and spices, like cinnamon and nutmeg make this an elegant and easy to sip Scotch. ",Single Malt,Lowland,"[' light', 'cinnamon', 'spice', 'mild ']"
764,Glenkinchie 24 Yr,429.99,-1.0, Intense . Toffee . Vanilla . Wood . Long ,-1,Glenkinchie," Lowlands, Scotland- Lively, with more body than younger expressions and considerably more spice. Nose opens to reveal floral, fruit, and cereal aromas. Complexity on the palate. Smooth and warming with woody notes, spice, banana toffee, and vanilla cream. Long finish. ",Single Malt,Lowland,"[' intense', 'toffee', 'vanilla', 'wood', 'long ']"
765,Glenkinchie Distillers Edition,81.99,-1.0, Rich . Sherry . Toffee . Long ,-1,Glenkinchie," Lowlands, Scotland- Elegant and complex. Finishing this malt in Amontillado Sherry allows for enhanced interplay between sweet and dry. Pleasing as an aperitif, this is sophisticated and has complementing flavors of toffee, apple, and light smoke. ",Single Malt,Lowland,"[' rich', 'sherry', 'toffee', 'long ']"
766,Glenlivet 12 Yr,31.99,4.7, Rich . Vanilla . Oak . Balanced ,95,Glenlivet," Speyside, Scotland- Matured in a mixture of cask types, including American & European Oak. American oak imparts vanilla notes and gives the whisky its distinct smoothness. The mineral rich water from Josie's Well ensures the best possible results to form the flavors. ",Single Malt,,"[' rich', 'vanilla', 'oak', 'balanced ']"
767,Glenlivet 12 Yr First Fill,39.99,-1.0,None,-1,Glenlivet," Scotland- The Glenlivet 12 Year Old First Fill is adored for its vanilla, honey, smoky and spicy flavor notes. Light golden in color, this expression sets itself apart by utilizing first-fill ex-Bourbon casks. Dry and clean finish with a lingering spice element. ",Single Malt,,['none']
768,Glenlivet 12 Yr Gift with Glasses,27.99,-1.0,None,-1,Glenlivet," Speyside, Scotland- Classic Speyside single malt showing a perfect balance of fruity and floral flavors, delicately enhanced with oaky vanilla notes and nutty hints. Spicy yet restrained warming finish of hazelnut and minty maltiness. GOLD MEDAL - 2006 SAN FRANCISCO WORLD SPIRITS ",Single Malt,,['none']
769,Glenlivet 12yr Gift with 50mls,34.99,5.0,None,-1,Glenlivet," Speyside, Scotland- Classic Speyside single malt showing a perfect balance of fruity and floral flavors, delicately enhanced with oaky vanilla notes and nutty hints. Spicy yet restrained warming finish of hazelnut and minty maltiness. ",Single Malt,,['none']
770,Glenlivet 18 Yr,89.99,4.9, Rich . Spice . Oak . Long ,93,Glenlivet," Speyside, Scotland- The Glenlivet Master Distiller has a wealth of casks to choose from when creating this complex expression with American and European Oak both, first and second fill. European Oak imparts spicy hints and brings complexity. First-fill American Oak adds tropical notes. ",Single Malt,Speyside,"[' rich', 'spice', 'oak', 'long ']"
771,Glenlivet 25 Yr,399.99,4.9, Intense . Spice . Orange . Long ,95,Glenlivet," Speyside, Scotland- The XXV is a batch-produced whisky finished in individually selected ex-sherry butts. Oloroso-soaked oak imparts a nutty spiciness and enriches the flavor. Each cask is monitored to ensure the subtlest sherry tones are added to this silky and elegant whisky. ",Single Malt,Speyside,"[' intense', 'spice', 'orange', 'long ']"
772,Glenlivet Archive 21 Yr,279.99,4.8, Rich . Cedar . Fruit . Long ,93,Glenlivet," Speyside, Scotland- The 21 Year Old is produced in small, bespoke batches. Each cask is nosed and approved, making every batch unique. The complex combination of cask types imparts richness, intensity and a long finish to the whisky. ",Single Malt,Speyside,"[' rich', 'cedar', 'fruit', 'long ']"
773,Glenlivet Code,99.99,-1.0,None,-1,Glenlivet," Scotland-A limited edition without cask information or tasting notes, taking connoisseurs and beginners alike on a journey of discovery. Accompanied by a digital experience you are invited to a virtual underground room where you're challenged to decode the taste by aromas and flavors. ",Single Malt,Speyside,['none']
774,Glenlivet Founder's Reserve,25.99,4.8,None,96,Glenlivet," Speyside, Scotland- Founder's Reserve skillful selection of casks enhances the signature fruity flavors of Glenlivet. Traditional oak casks complemented by selective use of American first-fill casks to give a hint of creamy sweetness for an exceptionally well-balanced and smooth malt. ",Single Malt,,['none']
775,Glenlivet Founder's Reserve Gift,35.99,4.8,None,-1,Glenlivet," Speyside, Scotland- Founder's Reserve skillful selection of casks enhances the fruity flavors of Glenlivet. Traditional oak casks complemented by American first-fill casks to give a hint of creamy sweetness for a well-balanced and smooth malt. Gift comes with a stirrer and bitters! ",Single Malt,,['none']
776,Glenlivet French Oak 15 Yr,49.99,4.2, Rich . Oak . Fruit . Long ,91,Glenlivet," Speyside, Scotland- A portion of the spirit is matured in of French Oak casks for a limited period, as to not overpower the final result. The French Oak increases the intensity of the whisky, resulting in a richer and creamier finish. ",Single Malt,Speyside,"[' rich', 'oak', 'fruit', 'long ']"
777,Glenlivet Nadurra 16 Yr,74.99,4.0, Delicate . Herbal . Fruit . Balanced ,92,Glenlivet," Speyside, Scotland- Aged a minimum of 16 years in Bourbon barrels, this single malt is American oak at its best. Bursting with aromas and flavors of wildflowers, exotic fruits and spice. Lingering finish. DOUBLE GOLD MEDAL - 2010 SAN FRANCISCO WORLD SPIRITS COMPETITION ",Single Malt,Speyside,"[' delicate', 'herbal', 'fruit', 'balanced ']"
778,Glenlivet Nadurra First Fill,84.99,4.9,None,-1,Glenlivet," Speyside, Scotland- Nadurra is the Gaelic word for natural, a fitting title for thid non-chill-filtered; cask strength whisky crafted using very rare casks. First Fill is drawn from casks made from new American Oak, which impart hints of creamy vanilla and sweet pear. ",Single Malt,,['none']
779,Glenlivet Nadurra Oloroso,84.99,4.6,None,-1,Glenlivet," Speyside, Scotland- Nadurra is the Gaelic word for natural, a fitting title for this range of non-chill-filtered; cask strength whiskies crafted using some of the rarest casks. This whisky is exclusively matured in first fill Oloroso sherry oak casks from the Jerez region of Spain. ",Single Malt,,['none']
780,Glenlivet Nadurra Peated Whisky Cask Finish,79.99,4.6,None,-1,Glenlivet," Speyside, Scotland- Nadurra is the Gaelic word for natural, a fitting title for this non-chill-filtered; cask strength whisky crafted using very rares casks. Peated draws its inspiration from the traditions of whisky making, finished in casks that have held heavily peated Scotch. ",Single Malt,Speyside,['none']
781,Glenlivet Sgl Cask Pullman Club,319.99,-1.0,None,-1,Glenlivet," Speyside, Scotland- Matured for 18 years in a sherry butt. Incredibly long and tangy. An initial burst of sweet, fruity aromas of ripe pear, syrupy peach, and creamy milk chocolate followed by subtle nutmeg. Creamy sweet flavors fill the mouth with notes of orange and toasted almonds. ",Single Malt,Speyside,['none']
782,Glenlivet Sgl Cask Pullman Water,279.99,-1.0,None,-1,Glenlivet," Speyside, Scotland- Matured for 14 years in an American Oak hogshead. Soft and well balanced. Floral aromas of gorse in full bloom balanced with soft, creamy fudge and fruity ripe peach. The palate features abundant honey and vanilla with notes of ripe honeydew and traditional barley. ",Single Malt,Speyside,['none']
